transaction_id,cashback_user_id,purchase_date,merchant_id,source,status,status_updated_date,amount_sar
CB0067,B2053,2025-11-10,M-B02,NovaLink Affiliates,pending,,41
CB0068,B2054,2025-02-10,M-B01,RewardBridge,approved,2025-03-07,48
CB0069,B2054,2025-08-10,M-B02,ClickHarbor,pending,,48
CB0070,B2055,2025-05-10,M-B02,PartnerPulse,pending,,55
CB0071,B2055,2025-11-10,M-B01,TrackMint Network,approved,2025-12-05,55
CB0072,B2056,2025-02-10,M-B01,Orbit Affiliates,approved,2025-03-07,62
CB0073,B2056,2025-08-10,M-B01,NovaLink Affiliates,approved,2025-09-04,62
CB0074,B2056,2025-11-10,M-B02,RewardBridge,pending,,62
CB0075,B2057,2025-02-10,M-B03,ClickHarbor,approved,2025-03-07,69
CB0076,B2057,2025-05-10,M-B01,PartnerPulse,approved,2025-06-04,69
CB0077,B2057,2025-08-10,M-B03,TrackMint Network,approved,2025-09-04,69
CB0078,B2057,2025-11-10,M-B01,Orbit Affiliates,approved,2025-12-05,69
CB0079,B2058,2025-02-10,M-B01,NovaLink Affiliates,approved,2025-03-07,76
CB0080,B2058,2025-05-10,M-B03,RewardBridge,approved,2025-06-04,76
CB0081,B2058,2025-08-10,M-B01,ClickHarbor,approved,2025-09-04,76
CB0082,B2058,2025-11-10,M-B03,PartnerPulse,approved,2025-12-05,76
CB0083,B2059,2025-02-10,M-B03,TrackMint Network,approved,2025-03-07,83
CB0084,B2059,2025-05-10,M-B01,Orbit Affiliates,approved,2025-06-04,83
CB0085,B2059,2025-08-10,M-B03,NovaLink Affiliates,approved,2025-09-04,83
CB0086,B2059,2025-11-10,M-B01,RewardBridge,approved,2025-12-05,83
CB0087,B2060,2025-02-10,M-B01,ClickHarbor,approved,2025-03-07,90
CB0088,B2060,2025-05-10,M-B03,PartnerPulse,approved,2025-06-04,90
CB0089,B2060,2025-08-10,M-B01,TrackMint Network,approved,2025-09-04,90
CB0090,B2060,2025-11-10,M-B03,Orbit Affiliates,approved,2025-12-05,90
CB0091,B2062,2025-02-10,M-B01,NovaLink Affiliates,approved,2025-03-07,104
CB0092,B2063,2025-02-10,M-B02,RewardBridge,approved,2025-04-18,111
CB0093,B2064,2025-02-10,M-B02,ClickHarbor,approved,2025-04-27,118
CB0094,B2065,2025-08-10,M-B02,PartnerPulse,approved,2025-10-19,125
CB0095,B2066,2025-11-10,M-B02,TrackMint Network,pending,,132
CB0096,B2061,2025-05-10,M-B04,Orbit Affiliates,rejected,2025-06-22,97
CB0097,B2062,2025-05-10,M-B04,NovaLink Affiliates,cancelled,2025-05-29,104
CB0001,B2001,2025-05-10,M-B01,NovaLink Affiliates,approved,2025-06-04,37
CB0098,B9999,2025-05-12,M-B05,RewardBridge,approved,2025-06-01,85
